Date,Norway_Total_Interest,Stavanger_Total_Interest
2016-01-31,113.0,93.0
2016-02-29,84.0,8.0
2016-03-31,89.0,15.0
2016-04-30,91.0,19.0
2016-05-31,222.0,34.0
2016-06-30,219.0,53.0
2016-07-31,207.0,90.0
2016-08-31,229.0,42.0
2016-09-30,161.0,15.0
2016-10-31,21.0,6.0
2016-11-30,63.0,107.0
2016-12-31,116.0,8.0
2017-01-31,204.0,14.0
2017-02-28,182.0,12.0
2017-03-31,221.0,15.0
2017-04-30,113.0,21.0
2017-05-31,227.0,35.0
2017-06-30,284.0,53.0
2017-07-31,238.0,91.0
2017-08-31,217.0,51.0
2017-09-30,131.0,14.0
2017-10-31,166.0,8.0
2017-11-30,117.0,8.0
2017-12-31,108.0,6.0
2018-01-31,114.0,13.0
2018-02-28,283.0,9.0
2018-03-31,143.0,12.0
2018-04-30,249.0,21.0
2018-05-31,156.0,33.0
2018-06-30,236.0,58.0
2018-07-31,443.0,90.0
2018-08-31,267.0,44.0
2018-09-30,85.0,21.0
2018-10-31,112.0,7.0
2018-11-30,102.0,7.0
2018-12-31,58.0,0.0
2019-01-31,137.0,13.0
2019-02-28,285.0,12.0
2019-03-31,202.0,17.0
2019-04-30,144.0,19.0
2019-05-31,285.0,36.0
2019-06-30,198.0,75.0
2019-07-31,423.0,91.0
2019-08-31,219.0,49.0
2019-09-30,171.0,17.0
2019-10-31,162.0,7.0
2019-11-30,124.0,96.0
2019-12-31,126.0,7.0
2020-01-31,294.0,15.0
2020-02-29,253.0,16.0
2020-03-31,25.0,15.0
2020-04-30,68.0,10.0
2020-05-31,132.0,28.0
2020-06-30,136.0,64.0
2020-07-31,243.0,100.0
2020-08-31,275.0,38.0
2020-09-30,119.0,9.0
2020-10-31,54.0,8.0
2020-11-30,47.0,7.0
2020-12-31,86.0,0.0
2021-01-31,142.0,110.0
2021-02-28,69.0,7.0
2021-03-31,47.0,13.0
2021-04-30,52.0,11.0
2021-05-31,90.0,29.0
2021-06-30,68.0,47.0
2021-07-31,173.0,88.0
2021-08-31,160.0,43.0
2021-09-30,207.0,21.0
2021-10-31,115.0,21.0
2021-11-30,51.0,19.0
2021-12-31,15.0,6.0
2022-01-31,195.0,18.0
2022-02-28,244.0,24.0
2022-03-31,279.0,21.0
2022-04-30,247.0,33.0
2022-05-31,342.0,52.0
2022-06-30,386.0,71.0
2022-07-31,418.0,100.0
2022-08-31,381.0,64.0
2022-09-30,284.0,23.0
2022-10-31,193.0,14.0
2022-11-30,192.0,14.0
2022-12-31,231.0,14.0
2023-01-31,325.0,21.0
2023-02-28,302.0,18.0
2023-03-31,316.0,18.0
2023-04-30,333.0,26.0
2023-05-31,413.0,46.0
2023-06-30,608.0,69.0
2023-07-31,522.0,86.0
2023-08-31,432.0,58.0
2023-09-30,293.0,121.0
2023-10-31,205.0,13.0
2023-11-30,256.0,12.0
2023-12-31,167.0,12.0
2024-01-31,466.0,20.0
2024-02-29,384.0,25.0
2024-03-31,324.0,25.0
2024-04-30,526.0,23.0
2024-05-31,515.0,39.0
2024-06-30,500.0,67.0
2024-07-31,595.0,82.0
2024-08-31,521.0,55.0
2024-09-30,247.0,21.0
2024-10-31,215.0,117.0
